Ward name,Old code,GSS_CODE,population_2015,percent_children_15_2015,percent_working_age_2015,percent_aged_65+_2015,mean_age_2013,median_age_2013,area_sq,pop_den_2013,percent_bame_2011,general_fertility_rate_2013,male_life_expect,female_life_expect,rate_ambulance_per_1000pp_ 2014,num_killed_seriously_injured_road_2014,employment_rate_2011,median_house_price_2014,num_propertoes_sold_2014,median_est_household_income_2013,percent_detached_2011,percent_semi_detached_2011,% terraced houses - 2011,percent_flat_2011,percent_household_owned_2011,percent_household_socialrented_2011,percent_household_privaterent_2011,percent_no_qualifications_2011,crime_rate_2014,violence_against_person_rate_2014,deliberate_fires_per_1000pp_2014,percent_area_openspace_2014,cars_per_household_2011,avg_public_transport_accessibility_score_2014,percent_travel_work_bike_2011
Tower Hamlets - Blackwall and Cubitt Town,00BGFY,E05000575,23250,18.8,76.5,4.7,30.8,30,3,7116.7,50.4,56.8,79,84.8,98.6,3,70.8,380000,499,43330,0.8,3,7.9,88,26,28.6,41.4,14.6,60.3,19.8,1.1,42.2,0.5,3.8,3
Tower Hamlets - Bow East,00BGFZ,E05000576,15650,17.7,75.4,6.8,32.7,30,1.9,8026.3,39.9,51.2,75.8,83,108.3,3,68.9,325000,355,36800,1.6,2.9,13.8,81.8,22.6,42.8,30.3,21.4,98.9,26.4,2.1,39,0.4,3.6,9.3
Tower Hamlets - Bow West,00BGGA,E05000577,13650,19.6,72.7,7.7,32.9,30,1.3,10230.8,40.7,54.1,78.5,83.2,113.7,4,66.3,415000,210,41000,1.2,3.2,27.2,68.2,31.5,39,26.7,20.3,98.5,25.4,1.3,42.8,0.5,5.2,11
Tower Hamlets - Bromley-by-Bow,00BGGB,E05000578,19750,24.6,70.4,5,29.3,28,1.1,15500,70.4,74.3,80.1,82.4,100,3,55.1,302500,306,31980,1.1,2.8,7.8,88.2,15.6,55.9,24.2,25.5,79.3,25.6,2.1,11.6,0.4,4.2,4.8
Tower Hamlets - East India and Lansbury,00BGGC,E05000579,16550,25.8,68,6.1,30.3,28,1.2,13000,63.7,79.5,75.5,81.1,129.8,2,52.9,293000,191,29680,2.3,3,11.4,83.3,18.2,57.5,20.1,30.7,108.4,38.3,2.6,12.4,0.4,3.5,3.2
Tower Hamlets - Limehouse,00BGGD,E05000580,17100,22.1,72.3,5.6,31.1,30,1.1,15000,56.8,77.2,76,79,120.9,9,64,375000,239,36260,1,1.7,6.3,91,26,41.2,29.8,21.9,88.8,28.2,1.6,23.3,0.5,5,4.5
Tower Hamlets - Mile End and Globe Town,00BGGE,E05000581,16200,18.3,76,5.8,30.3,27,0.9,17555.6,52.6,47,76.5,80.6,135.5,5,55.4,385000,199,34300,1.1,1.8,11.9,85.2,25,46,25.8,19.5,86.6,30.3,1.1,12.5,0.4,5.4,8.9
Tower Hamlets - Mile End East,00BGGF,E05000582,15200,22.4,72.4,5.3,29.6,27,1.1,12954.5,66,62.6,77.2,82.9,127,6,56.1,325000,207,32510,1.2,2.2,9.8,86.7,18.5,52.9,27,23.3,87.3,28.8,1.8,33.3,0.4,5.3,5.9
Tower Hamlets - Millwall,00BGGG,E05000583,26350,17,79.2,3.7,31,30,2.5,9860,47.6,60,82,84,106,3,73.6,420000,704,46940,1.2,3,8.9,86.9,27.5,20.6,48.1,11.4,74.4,22.4,0.3,35,0.5,3.4,2.8
Tower Hamlets - St. Dunstan's and Stepney Green,00BGGH,E05000584,17100,22.2,70.2,7.6,31.4,28,1,16650,65.2,65.6,76.7,81.2,133.2,4,55.4,363250,252,32930,2.5,4.2,18.3,74.9,19.5,54,19.6,26.9,78.5,27.9,0.7,21.2,0.4,5.4,6.8
Tower Hamlets - St. Katherine's and Wapping,00BGGJ,E05000585,13550,14.8,78.7,6.5,34.3,32,1.5,8633.3,37.6,69.2,79.3,83.9,104.5,2,76.5,453000,458,50770,0.7,2,9.4,87.5,39.9,20.3,36.7,12.3,96,19.6,0.5,36.9,0.6,4.4,6.9
Tower Hamlets - Shadwell,00BGGK,E05000586,15900,23.2,70.9,6,30.7,29,1,15450,64.4,72.3,78,84.9,106.8,7,60.7,370000,185,36360,1.2,1.9,5.1,91.8,22.8,42.7,28.9,21.3,86.9,26.3,1,24.2,0.4,6,5.4
Tower Hamlets - Spitalfields and Banglatown,00BGGL,E05000587,11800,13.8,81.2,5,31.3,29,0.6,18416.7,54.7,38.3,77.4,82.4,158,8,60.9,499995,242,39910,1,2.4,9.4,87.2,25.7,31.9,40,17.2,188.8,44.8,0.5,1.4,0.3,6.9,7.5
Tower Hamlets - Weavers,00BGGM,E05000588,15050,16.5,77.2,6.4,32.7,30,0.8,17687.5,47.9,44.9,75.1,84,129,8,67,510000,303,37760,0.7,1.2,11.2,86.9,24.3,43.4,30.3,20.6,136.8,32.8,0.6,15.4,0.3,5.5,12.1
Tower Hamlets - Whitechapel,00BGGN,E05000589,17300,17.4,77.5,5.1,30.7,29,0.9,17888.9,60.2,56.6,74.7,79.7,153.4,10,65,489000,288,37600,0.8,2,6.7,90.5,20.5,32.9,43.4,17.1,105.3,33.3,1.1,5.4,0.3,6.8,7.1
Waltham Forest - Cann Hall,00BHFX,E05000590,14350,22.2,70.5,7.3,32.3,30,0.9,15833.3,57,70.7,77.9,81.7,100.5,1,63.8,326000,159,32700,5.1,9.3,48,37.4,39.2,28.3,30.7,19.2,61.2,21.1,0.5,5,0.6,2.9,3
Waltham Forest - Cathall,00BHFY,E05000591,13300,22.2,70.4,7.5,32.3,30,1.1,12000,61,68.8,80.3,82.4,117.2,3,62.7,332500,102,30950,6,10.9,40.4,42.6,28.3,38.5,31.9,19.3,64.2,24.6,0.5,23.5,0.5,4.3,2.6
Waltham Forest - Chapel End,00BHFZ,E05000592,14600,24.6,66.6,8.7,33.4,33,1.8,8055.6,48.5,79.4,82.1,84.6,105.7,2,68.9,340000,173,36440,4.9,11.9,55,28.3,58.6,15.7,24,18.7,73,22.1,0.6,31.2,0.9,2.9,3
Waltham Forest - Chingford Green,00BHGA,E05000593,10550,17.3,60.9,21.7,42.3,43,3.7,2851.4,14.7,49.2,80.2,83.8,144,2,73.4,330000,153,39280,6.3,38.6,21,34.2,69.1,15.4,13.9,24.2,69,19.8,0.5,54.9,1.1,2.8,1.1
Waltham Forest - Endlebury,00BHGB,E05000594,11150,17,65,18,40.2,41,2,5525,22.4,63.8,82.6,88.6,94.9,0,70.4,310000,212,38580,5,51.3,17.1,26.5,74.3,14.7,9.6,23.5,43.9,13.1,0.2,18.5,1.3,2.4,1.2
Waltham Forest - Forest,00BHGC,E05000595,13250,20.6,69.4,10,34.2,31,2,6550,58.7,75.5,79,83.8,181.6,2,65.2,401000,125,36080,4.1,14.1,42.2,39.6,50.3,13.6,33.5,19.3,81.6,24.6,0.6,40.4,0.8,4.3,3.5
Waltham Forest - Grove Green,00BHGD,E05000596,15300,21.7,70.7,7.6,32.9,32,0.9,16833.3,53.2,73.3,81.4,85.6,97,2,70.3,308000,189,36350,4.4,7.8,39.8,47.8,45.6,9.1,44.1,15.7,52.4,16.5,0.3,4.3,0.6,4.2,3.1
Waltham Forest - Hale End and Highams Park,00BHGE,E05000597,12200,21.9,65.9,12.2,36.5,36,2.3,5195.7,33.1,60.8,79.8,87,85.9,2,71.1,288747.5,242,39490,4.2,24.3,46.2,25.3,66.9,18.8,12.4,20,52.1,15.8,0,41.4,1.1,2.5,2.3
Waltham Forest - Hatch Lane,00BHGF,E05000598,11400,19.5,64.3,16.2,38.9,39,2.4,4729.2,22.2,66.3,79.1,81.3,129.3,3,69.9,286500,159,36110,4.8,37.4,27.5,30.4,62.6,24.7,11.3,26.2,64.4,18.5,0.4,37.7,1.1,2.5,1.8
Waltham Forest - High Street,00BHGG,E05000599,14850,21.6,70.4,7.9,33.3,32,3.1,4725.8,50.7,95.4,80.2,84.8,144.9,4,69.4,333000,192,34810,3,6.9,32.1,58,47.1,19,31.7,18.3,151.3,39.5,1,56.6,0.6,4.4,4.1
Waltham Forest - Higham Hill,00BHGH,E05000600,14200,24.6,67.4,8,32.7,32,3.2,4328.1,51.9,73.1,79.3,82.1,113.8,3,62.6,325000,131,31270,5.4,15.9,44.3,34.3,40.8,33.6,21.9,23.7,67.7,23.9,0.7,56.7,0.7,2.6,2.3
Waltham Forest - Hoe Street,00BHGJ,E05000601,14600,22.4,69.2,8.4,33.4,32,1.1,13090.9,49.9,79.7,77.2,82.1,123.5,2,66.1,360000,197,34890,3.2,9.7,25.1,61.9,39.2,27,31.1,19,87.4,27.8,0.4,10.6,0.6,5.2,3.1
Waltham Forest - Larkswood,00BHGK,E05000602,12050,19.5,65.1,15.4,38.5,37,2.1,5619,31.2,61.7,79.5,84.9,131.3,3,69.6,335000,148,35170,3.4,26.9,44.3,25.4,68,17.4,12.6,26.2,61.8,18.8,0.3,31.4,1.1,2.8,1.6
Waltham Forest - Lea Bridge,00BHGL,E05000603,16250,25.3,66.6,8.1,32.6,32,2.6,6192.3,64.8,102.6,75.5,80.8,136,10,62.8,283250,200,31450,5.5,11.2,33.8,49.5,44.5,18.4,34.7,23,98.4,28.4,0.2,40.1,0.6,3.6,3.9
Waltham Forest - Leyton,00BHGM,E05000604,14950,24.6,67.8,7.6,32.1,30,2,7400,63.5,83.8,78.7,82.5,118.5,7,61.5,255000,169,31040,5.1,10.4,29.5,54.9,32.9,34.5,30.1,21.1,88.2,28.8,1.1,27.6,0.6,3.8,2.7
Waltham Forest - Leytonstone,00BHGN,E05000605,13450,17.6,74.4,8,34.5,32,1.3,10269.2,47.6,69.1,80.6,80.9,103.8,2,70.3,345000,167,38700,3.5,11.6,30.2,54.7,44.5,15.4,37.4,15.1,89.8,29.2,0.5,5.8,0.7,5.5,2.9
Waltham Forest - Markhouse,00BHGP,E05000606,15250,24.2,68,7.8,32.7,31,1.5,9733.3,58.2,80.5,80,82.3,118.4,0,64.2,324000,218,33780,6.4,10.7,46.3,36.6,42.8,24.4,29.9,20.8,72.3,21.1,1.3,30.9,0.6,4.2,3.3
Waltham Forest - Valley,00BHGQ,E05000607,11850,20.8,65.4,13.8,37.2,36,2,5900,38.4,60.4,80.3,85.3,113,5,68.1,285000,153,34250,5.1,21.3,48.9,24.6,67.6,17.9,13.3,26.1,104.1,25.2,0.5,17.6,1.1,2.4,1.8
Waltham Forest - William Morris,00BHGR,E05000608,13750,23.6,68.2,8.2,33.4,33,1,13650,51.8,91.3,76.3,84.5,103.9,4,68.1,351625,180,35070,5,9.3,43,42.6,46.9,21.4,29.1,20.4,55.6,20.5,0.7,5.3,0.6,3.5,3.7
Waltham Forest - Wood Street,00BHGS,E05000609,14150,24.4,66.3,9.3,34,33,1.8,7694.4,50.4,79.4,77.8,82.6,107.8,4,66.2,387500,179,35130,3,12.9,30,54.1,43.9,30.9,23.5,20.8,74,25.2,0.3,34.4,0.7,3.7,3.7
Wandsworth - Balham,00BJFZ,E05000610,15050,17.6,74,8.4,34.2,32,1.2,12375,19.4,60.2,83.3,85.6,74.1,4,83,595000,313,53420,1.7,10,30.6,57.7,52.8,10.9,34.4,7.1,78,15.6,0.2,11.8,0.7,4.7,7.9
Wandsworth - Bedford,00BJGA,E05000611,15100,15.3,77.1,7.5,34.2,32,1.8,8222.2,27.6,45.3,79,83.6,89,5,80,496500,282,46410,1.6,6.4,20.2,71.8,44,16.1,38.4,9.1,53.7,14.5,0.1,44.9,0.7,4.1,7.1
Wandsworth - Earlsfield,00BJGB,E05000612,16100,17.3,76.2,6.6,33.1,32,1.4,11214.3,27.7,72.6,78.3,85.1,85.1,0,79,541000,321,44360,1.7,4.9,30.1,63.2,45.9,21.7,30.2,11.9,66.1,20.7,0.1,16.5,0.7,3.9,6.5
Wandsworth - East Putney,00BJGC,E05000613,15850,14.1,74.8,11.1,36.4,33,1.6,9625,20.6,50.1,79.6,86.6,84.6,5,81.7,534000,396,49010,4,7.8,12.2,76.1,47.5,11.3,38.9,7.9,42.6,10.2,0.3,11,0.7,4.1,7.1
Wandsworth - Fairfield,00BJGD,E05000614,15350,14.9,77.9,7.2,34.1,32,1.5,9966.7,22.1,55,79.5,81.7,106.4,5,83.9,500000,311,48590,1.3,5.9,20.9,71.9,46.9,15.2,35.2,8.5,83.6,19.3,0.1,11.1,0.7,5.5,7.7
Wandsworth - Furzedown,00BJGE,E05000615,15850,21.1,69,9.9,34.5,33,1.4,11178.6,43.1,66.7,81.2,83.4,97.4,2,70.6,410000,225,38240,3.3,12.7,33.5,50.6,53.9,16.8,27.2,15.5,58.6,17.7,0.2,19.3,0.7,3.2,7.2
Wandsworth - Graveney,00BJGF,E05000616,15700,19.2,71.7,9.1,33.9,32,1,15400,46.4,70.7,79.7,84.1,125.6,3,72.6,440000,231,37960,3,8.3,38.3,50.4,43.9,17.8,35.8,14.7,100.2,27.6,0.1,2.6,0.6,5.2,5.5
Wandsworth - Latchmere,00BJGG,E05000617,15850,19.4,71.7,8.9,33.6,31,1.1,14181.8,44.5,48.2,76,83.6,127.3,4,70.6,398500,170,34990,0.9,3.2,14.8,81.1,28.4,47,21.8,17.9,74.6,25.9,1,12.7,0.4,5.9,7
Wandsworth - Nightingale,00BJGH,E05000618,14950,18.3,72.6,9.1,35,33,1.2,12291.7,21.4,56,77.7,80.9,91.7,4,81.3,595000,298,50790,2.4,10.5,24.6,62.4,50.7,13.1,34,8.9,64.5,13.6,0.5,9.6,0.7,5.4,8.4
Wandsworth - Northcote,00BJGJ,E05000619,15400,21.5,71.9,6.6,33,32,1.7,8852.9,14.9,67.7,82.4,87.1,88.4,7,83.9,795000,261,55810,1.5,7.1,34,57.5,52.9,13.6,32.2,6.7,101.6,17.3,0.1,34.5,0.8,5.3,8.8
Wandsworth - Queenstown,00BJGK,E05000620,20150,14.8,77.8,7.4,34.1,31,3.2,5718.8,35.7,40.5,78.2,86.2,114.8,13,75.4,630000,310,39580,0.7,1.6,8.2,89.3,31.2,30.7,33,11.9,74.8,18.2,0.7,38.5,0.5,4.4,8.6
Wandsworth - Roehampton,00BJGL,E05000621,17550,17.5,73.1,9.3,32.8,27,4.4,3863.6,34.5,37.3,77,82.1,136.7,2,59.8,374950,133,30320,4.5,3.7,11.1,80.6,29,46,23.1,18.2,83.5,25.5,0.5,70.6,0.6,2.8,4.8
Wandsworth - St. Mary's Park,00BJGM,E05000622,17250,14.8,74.7,10.5,36,33,1.4,12071.4,28.2,48.2,75.7,81.7,115.9,2,77.4,530000,480,44720,0.8,3.8,9,86.2,41.6,21.8,32.9,11.4,76.6,18.4,0.4,26.9,0.7,3.9,9.6
Wandsworth - Shaftesbury,00BJGN,E05000623,14500,14.8,76.9,8.3,34.6,32,0.9,15944.4,18.8,50,78.9,84.1,83,2,83,700000,287,50410,1.3,3.9,40.6,54.2,43.8,22.6,32.3,10.9,79.8,18.5,0.1,2.1,0.6,5.5,9.2
Wandsworth - Southfields,00BJGP,E05000624,16750,20.3,71.2,8.5,34.1,33,1.5,10933.3,24.4,76.6,80.3,85.9,86.4,2,80.9,515250,440,48160,1.3,5.8,37.4,55.6,53.3,14.7,29.1,10.1,69.4,17.5,0.1,18.1,0.7,3.7,7.3
Wandsworth - Thamesfield,00BJGQ,E05000625,15400,17.2,72.8,10,35.8,34,1.9,7921.1,12.3,57.7,81.8,89.9,81.7,6,83.4,700000,397,55380,2.2,9.8,27.3,60.4,54.3,7.5,35.3,6.3,96.2,14.2,0.1,34.5,0.8,4.5,8.6
Wandsworth - Tooting,00BJGR,E05000626,17350,18,72.8,9.1,33.3,30,1.6,10562.5,52.7,58.6,79.2,82.9,120.6,11,67.7,440500,208,36000,3.5,9.6,39.1,47.8,41,18,38.8,14.4,77.6,24.7,0.1,33.7,0.6,5.1,4.3
Wandsworth - Wandsworth Common,00BJGS,E05000627,16350,19.4,72.4,8.2,34.6,33,2.8,5607.1,17.8,65.2,79.4,81.9,90.9,4,71,568000,254,51420,3.5,16.6,29.8,50.1,61.2,12.6,24.6,11,58.8,16.5,1.3,48.2,1,2.7,9.3
Wandsworth - West Hill,00BJGT,E05000628,16850,18.8,71.9,9.3,34.5,32,1.7,9764.7,31.7,52.3,78.4,81.3,94.1,1,73.1,395000,277,40360,4.3,9,12.2,74.4,43.7,23.6,30.2,14.3,38,12.3,0.1,31.9,0.8,2.8,4.9
Wandsworth - West Putney,00BJGU,E05000629,15400,17.9,69.2,12.9,36.7,33,1.8,8388.9,22.9,56.8,79.2,82.7,138.8,1,72.6,497800,307,43280,7.2,10.9,21.1,60.8,49.9,22.9,24.2,14.5,51.3,14.7,0.3,20,0.8,2.7,7.2
Westminster - Abbey Road,00BKGA,E05000630,11500,17.6,68.2,14.2,38.1,36,1.1,10318.2,35.4,56.5,86.1,89.5,107.9,4,67.9,750000,221,52200,5.7,7.9,7.9,78.4,42.5,9.1,44.4,10,45.8,9.5,0.2,7.2,0.7,5.4,3.1
Westminster - Bayswater,00BKGB,E05000631,10500,13.2,76.2,10.6,37.1,35,0.5,20700,31.1,53.3,84,85.7,99.9,3,73.9,850000,183,49960,1,2.1,8.7,88.2,33.9,20.4,42.7,7.5,106.3,19,n/a,3.8,0.4,6.5,6.3
Westminster - Bryanston and Dorset Square,00BKGC,E05000632,12650,10.6,78.6,10.8,36.6,33,0.7,17642.9,37.2,45.5,85.2,86.4,146.2,11,66.6,975000,268,51370,0.4,0.8,7.9,90.9,32.7,7.8,55.5,8.2,170.5,29.6,0,2.1,0.4,8,4.8
Westminster - Churchill,00BKGD,E05000633,10550,18.6,69.5,11.9,36.6,34,0.6,16750,39.4,51,79.5,85.9,161.1,4,63.4,1100000,137,39530,0.4,0.8,7.2,91.6,23.6,49.8,22.6,19.1,107.6,22.6,0,22.2,0.4,4.9,5.4
Westminster - Church Street,00BKGE,E05000634,12000,22.5,63.8,13.8,35.7,34,0.4,29750,61.7,64.8,79.1,82.6,186.9,3,48.7,440000,61,26290,0.7,1,3.4,94.9,16.8,55.8,24.8,28.1,80.9,29.1,0.2,7.6,0.3,6.7,4
Westminster - Harrow Road,00BKGF,E05000635,12350,18.9,72.6,8.5,34.7,33,0.5,24300,49,57.6,76.1,85.4,128.4,2,63.4,499950,156,35000,1.4,2.4,9.1,87,23.2,43.4,31,18.4,67.1,23.7,n/a,3,0.4,5.7,6.6
Westminster - Hyde Park,00BKGG,E05000636,13450,13.1,77.2,9.7,35.6,32,1,13000,44.7,46.1,81.2,85.9,197.3,10,62.4,850000,389,46880,0.8,1.3,9.3,88.6,33.2,9.8,52.3,11.1,152.6,31.1,0.1,8.9,0.5,8,4.6
Westminster - Knightsbridge and Belgravia,00BKGH,E05000637,10050,10.4,75.9,13.7,37.2,34,3.6,2736.1,30.4,38.3,89.1,91.6,123.5,8,56.5,3500000,163,88330,1.5,4.3,24.6,69.5,46.1,3.9,39.4,5.7,177.1,22,0.2,69.1,0.9,6.6,2.9
Westminster - Lancaster Gate,00BKGJ,E05000638,13800,11.5,80,8.4,35.2,32,0.6,22416.7,33.7,39.8,84,87.3,114.2,3,71.2,895000,193,49290,0.7,1.4,6.3,91.6,31,10.5,55.2,7.1,150.4,22,0.1,8.6,0.4,7.7,6
Westminster - Little Venice,00BKGK,E05000639,11050,18.2,71.1,10.7,36.5,35,0.6,18000,35.6,62.3,80.4,85.4,123.4,5,69.4,870000,131,48770,1,2.9,5.5,90.3,39.2,18.5,39.6,11.5,74.8,17.3,0,15.4,0.6,5.6,4.6
Westminster - Maida Vale,00BKGL,E05000640,10550,17.9,72.9,9.2,35.2,34,0.6,17166.7,37.6,62.4,80.9,86,94,1,70.4,773000,143,45660,1,1.6,3.6,93.8,35.6,24.5,37.5,13.2,59,17.3,0,27.2,0.5,5.2,5.3
Westminster - Marylebone High Street,00BKGM,E05000641,11150,9.3,79.3,11.3,37.6,34,1,10750,27.8,38.7,84.5,85.6,195.2,9,71.4,1090000,172,58370,0.6,1,6.1,92.3,32.1,9.9,53.4,5.8,302.4,32,0.2,6.1,0.5,7.7,4.4
Westminster - Queen's Park,00BKGN,E05000642,13050,20.2,69.9,9.9,34.5,33,0.6,21250,52.6,57,77,82.6,125.7,1,59,545000,104,32260,3.5,5.1,29.1,62.4,22.3,55.4,19.9,22.6,62.2,24.8,0.2,4.4,0.4,5,6.1
Westminster - Regent's Park,00BKGP,E05000643,12500,15.7,68.3,16,39.1,36,2.3,5326.1,43.7,44.9,84.1,86.7,161.6,6,62.4,942500,194,46510,1.8,1.7,3.5,93,37.6,19.1,39,13,66.6,14.7,0.1,62.2,0.6,5.2,3.5
Westminster - St. James's,00BKGQ,E05000644,12050,9,79.8,11.2,37.9,34,3.5,3271.4,28.8,33,83.5,85.9,810.2,35,67.7,1262500,306,52520,0.7,0.5,4,94.8,25.9,28,40.5,10.7,990,193.7,0.6,30.7,0.4,7.6,3.6
Westminster - Tachbrook,00BKGR,E05000645,8500,10.3,74.8,14.9,40.2,37,0.4,20750,21.8,37.7,83.3,84.3,121.1,3,75.2,715650,110,47340,0.4,0.3,4.4,94.9,26,29.3,42.6,12.5,57.7,17.3,0.7,32.4,0.4,6.6,5.9
Westminster - Vincent Square,00BKGS,E05000646,10500,14.2,73.1,12.6,38.2,35,0.7,14714.3,29.3,42.7,80,85.1,164.1,1,69,840000,152,46550,0.3,0.2,2.1,97.4,32.2,34.5,29,11.7,82.4,25,0.2,26.4,0.4,6.9,4.3
Westminster - Warwick,00BKGT,E05000647,9800,10.9,77,12.1,38.2,34,0.6,15916.7,24,38.1,80.7,88.5,253.5,4,73.8,857250,137,50250,0.6,0.7,8,90.7,33.9,28.2,34.5,9.4,138.1,28.2,0.5,4,0.5,7.2,5.9
Westminster - Westbourne,00BKGU,E05000648,13200,20.8,70.2,9,34.3,33,0.7,18500,52.8,54.5,75.1,81.6,161.6,2,59,499975,118,32390,0.5,0.7,2.4,96.4,21.1,48.5,26.8,22.4,75.5,25.3,0.5,19.2,0.4,4.9,5.1
Westminster - West End,00BKGW,E05000649,11250,8.7,79.8,11.6,38.8,36,2,5475,32.4,34.1,82.1,84.1,611.2,25,71.3,1487500,156,54970,0.5,0.8,4.9,93.7,23.7,23.5,47.1,9.6,1212.1,152.9,0.4,3.9,0.4,8,3.4
City of London,00AA,E09000001,8100,8,76.9,15.2,41.3,39,3.2,2538.1,21.4,38.4,84.3,88.6,140,57,79.6,765000,309,63620,0.4,0.2,1.4,98,42.3,16.5,35.9,6.7,656.4,85.3,0.4,18.6,0.4,7.9,5.3
Barking and Dagenham,00AB,E09000002,205450,26.1,64.1,9.7,33.2,31,37.8,5173.7,41.7,85.5,77.7,82.4,112.9,40,62.6,215000,2100,34080,4,19.5,46.3,30.2,46.4,33.7,17.7,27.9,82.9,26.6,0.9,33.7,0.8,3,1.4
Barnet,00AC,E09000003,393200,20.9,65.6,13.6,36.9,35,86.7,4265.1,35.9,63.4,81.9,85,118.6,98,70,400000,4898,54530,11,29.7,16.2,42.9,57.6,14.2,25.6,15.5,61.6,16.5,0.2,37.7,1.1,3,1.4
Bexley,00AD,E09000004,237000,20.2,63,16.7,38.9,39,64.3,3679.4,18.1,62.1,80.3,84.3,122.5,24,72.9,250000,3868,44430,7.2,44.2,24.8,23.8,72.5,14.4,11.4,23,50,15.2,0.7,38.9,1.2,2.6,1.2
Brent,00AE,E09000005,326350,20.6,68.3,11.1,35.3,33,43.2,7406.4,63.7,70.6,80,84.9,113.8,85,66.7,385000,2836,39630,6.5,23.9,16.9,52.7,42.9,24.1,30.1,19.2,77.1,25.4,0.2,22.3,0.8,3.7,2.6
Bromley,00AF,E09000006,320100,19.7,62.6,17.7,39.8,40,150.1,2113.8,15.7,62.2,81.3,84.9,150.6,50,74.4,335000,6059,55140,18.4,29.9,21.6,30,70.9,14.1,13.3,17.9,61.2,18.8,0.6,57.4,1.2,2.8,1.5
Camden,00AG,E09000007,230300,15.4,73.4,11.2,35.8,33,21.8,10482.1,33.7,45.5,81.1,86,827.4,70,65.3,675000,2708,67990,1.9,4.1,8.8,85.2,32.2,33.1,32.2,12.7,124.7,26.3,0.3,24.6,0.5,5.7,6.5
Croydon,00AH,E09000008,381150,21.7,65.4,12.9,36.6,35,86.5,4313,44.9,69.5,80,83.5,129.4,71,70.3,265000,5802,45120,12.5,25.1,26.1,36.3,58.8,17.9,21,17.6,75.7,23.9,0.5,32.2,1,3.2,1.3
Ealing,00AJ,E09000009,349350,20.8,67.7,11.4,35.6,34,55.5,6209,51,68.8,79.9,84.3,114.5,81,69.1,388000,3366,45690,5.4,22.7,26.2,45.5,51.1,18.1,27.5,16.5,75.6,23,0.3,31.5,0.9,3.3,3
Enfield,00AK,E09000010,322150,22.1,65,12.9,36.1,34,82.2,3922.4,39,69.5,80.6,84.3,123.3,52,65.7,285000,3683,41250,7,23.5,31.1,38.4,57.9,17.6,22.2,23,70.6,19.6,0.5,48.5,1,3,1.4
Greenwich,00AL,E09000011,281550,21.8,67.8,10.4,34.7,33,50.4,5209.8,37.5,71.1,78.7,82.8,120.2,40,66.8,317000,4404,44370,4.2,18.5,30.9,46.4,43.3,34.3,19.8,20.6,74.4,25.8,0.6,39.3,0.8,3.4,2.3
Hackney,00AM,E09000012,262700,20.4,72.4,7.2,32.6,31,19.1,13471.7,45.3,61.5,78.2,83.2,116.4,60,65.8,433000,2827,42690,1.8,4.2,15.3,78.6,23.8,43.7,29,19.6,101.1,29.5,0.4,28.3,0.4,4.9,14.6
Hammersmith and Fulham,00AN,E09000013,189850,16.8,73.9,9.3,34.9,32,17.2,10551.6,31.9,52.4,79.1,83.5,123.2,69,71.4,661000,2803,62910,1.4,4.9,20.6,73,34,31.2,31.7,12.8,106.2,28.7,0.2,21.1,0.5,4.7,7.4
Haringey,00AP,E09000014,269100,19.4,71.6,9,34.4,33,29.6,8888.3,39.5,63.3,80.1,84.7,124.9,85,67.5,405000,2832,45860,4.3,9.5,27.2,59,38.8,26.7,31.5,17.8,83.8,25.2,0.4,27.8,0.6,4.3,4.9
Harrow,00AQ,E09000015,247500,20.3,64.9,14.8,37.7,36,50.5,4872.3,57.8,70,82.4,85.9,99.8,51,70,370000,2698,49060,11.8,39,18.5,30.7,65.2,10.6,21.7,16.8,50.3,15.3,0.2,32.1,1.2,2.9,0.8
Havering,00AR,E09000016,250350,18.9,62.8,18.4,40.3,40,114.5,2119.2,12.3,63.8,79.8,83.8,130.6,46,72.8,250000,4128,44430,10.9,40.7,26.4,21.8,73.7,14.2,10.6,26.4,62.5,17.3,0.8,59,1.2,2.5,0.9
Hillingdon,00AS,E09000017,289500,21.1,65.8,13.1,36.2,34,115.7,2485.2,39.4,68.8,80.4,83.7,149.8,84,69.9,307000,3677,44950,14.5,36,22.5,26.8,62.9,16.7,18.1,19.1,67.2,24.2,0.7,45,1.2,2.4,1.5
Hounslow,00AT,E09000018,263600,20.9,67.9,11.2,35.3,33,56.6,4670.3,48.6,73.3,79.7,83.4,123.6,62,70.8,319950,3206,44490,4.7,29.3,22.9,42.9,50.1,22.8,23.4,17.3,75,24.2,0.5,37.5,1,3,3.3
Islington,00AU,E09000019,220800,15.9,75.5,8.6,34.4,32,14.9,14532.5,31.8,46,78.2,83.4,142.4,93,67.5,530000,2783,54950,1.1,2.9,13.6,82.3,28.4,42.1,27,17,114.1,31.8,0.5,13.7,0.4,5.7,9.6
Kensington and Chelsea,00AW,E09000020,161700,15.7,70.7,13.6,38.3,36,12.4,12573.2,29.4,49.5,82.6,86.2,127.5,69,67.7,1195000,2655,116350,1.3,3.2,12.4,83,35.6,24.5,35.8,10.1,115.5,25.8,0.1,19.8,0.6,5.8,4.9
Kingston upon Thames,00AX,E09000021,167200,19.3,67.4,13.3,36.9,35,37.2,4466,25.5,54.4,81.3,84.5,112.1,39,72.9,385000,2979,56920,12.7,31.4,17.9,38,64.1,11.8,22.5,13.4,55.7,15.8,0.4,36.9,1.1,2.9,4.1
